Foundation_Name,Owner/Founder,Founding_Date,Location,Assets_PHP,No_of_Members,Type_of_Foundation
Tulong Alliance - Cruz,Antonio Navarro,1999-06-21,Taguig,647333,13,Charitable
Dangal Community Trust,Carlos Bautista,2017-03-23,Zamboanga City,130142,37,Human Rights
Kapit-bisig Foundation for Education #321,Carmen Delgado,2002-06-18,Quezon City,250068,150,Community Development
Sampaguita Initiative of Naga,Rogelio Villanueva,1987-03-24,Iloilo City,923167,39,Microfinance
Bagong Center,Jose Villar,1979-01-28,Iligan,146651,193,Community Development
Tatak Council #324,Carlos Bautista,2017-03-28,Caloocan,464779,12,Research
Dangal Fund #325,Rico Navarro,2025-06-12,Taguig,124138,32,Charitable
Kaagapay Project,Pedro Fernandez,1986-03-23,Tagum,455860,33,Community Development
Tatak Foundation for Youth,Jocelyn Sison,1984-11-07,Sorsogon,529054,862,Educational
Gabayan Foundation #328,Carmen Dizon,1991-04-24,Iloilo Province,210313,1552,Human Rights
Tatak Community Trust of Iloilo Province,Cristina Cruz,1991-06-17,Mandaluyong,468582,40,Community Development
Kalinga Fund - Ramos,Francis Padilla,2011-06-03,Vigan,315519,27,Community Development
Pag-ibig Charitable Foundation,Antonio Delgado,2017-04-27,Olongapo,1214971,41,Community Development
Sampaguita Society,Roberto Magbanua,2024-03-31,Taguig,50605,28,Educational
Paglaum Foundation,Daniel Villanueva,2003-04-21,Butuan,197227,25,Community Development
Pag-asa Community Trust,Aileen Delgado,1981-03-09,Lipa,317545,142,Charitable
Tulong Charitable Foundation #335,Liza Velasco,2010-04-24,Iligan,805413,147,Community Development
Haraya Trust of Iloilo City,Carlos Padilla,2001-05-13,Quezon City,236509,11,Community Development
Haraya Foundation #337,Antonio Delgado,2003-07-20,Makati,3595857,35,Charitable
Luntiang Trust,Teresa Torres,1972-07-12,Rizal,87797,30,Community Development
Pag-asa Society #339,Ruben Navarro,2000-01-30,Cagayan de Oro,785658,1240,Environmental
Bagong Foundation,Rosa Abalos,2012-05-21,Tagum,453925,10,Educational
Malasakit Network - Padilla,Evelyn Dela Cruz,1977-02-09,Quezon City,283647,14,Community Development
Paglaum Initiative #342,Carlos Garcia,2019-03-28,Sorsogon,161093,29,Charitable
Haraya Trust of Vigan,Rosa Torres,1997-01-07,Pasig,283540,79,Charitable
Lingap Initiative #344,Carmen Navarro,2011-01-04,Cebu City,453537,37,Charitable
Pag-asa Society #345,Rico Villanueva,2023-07-15,Malaybalay,53494,42,Educational
Bayan Foundation for Education #346,Mark Salvador,1991-09-15,Bayawan,412785,23,Community Development
Bagong Alliance,Carmen Dela Cruz,2025-02-27,Batangas City,430763,12,Microfinance
Tahanan Foundation for Youth #348,Carmen Fernandez,1977-09-06,Mandaue,1047662,23,Educational
Sigla Trust,Mark Cruz,2015-07-08,Iligan,4242484,12,Religious
Luntiang Society of Marikina,Maria Navarro,2004-09-16,Tarlac,203992,192,Educational
Paglaum Community Trust #351,Juan Dizon,1976-01-23,Batangas City,468150,12,Microfinance
Dangal Foundation for Education - Gonzales,Rogelio Salvador,1999-10-31,Taguig,82516,7,Health
Lingap Fund,Grace Lopez,1985-09-16,Vigan,3621958,34,Human Rights
Dangal Network #354,Ruben Villanueva,1986-05-09,Taguig,134611,33,Charitable
Tulong Community Trust,Rogelio Padilla,1973-04-26,Lipa,443981,30,Microfinance
Kalinga Foundation,Jocelyn Rodriguez,1973-10-05,Rizal,170927,29,Charitable
Luntiang Society of Malaybalay,Lea Velasco,1973-04-14,Puerto Princesa,579473,155,Microfinance
Kapit-bisig Initiative #358,Rosa Dizon,1974-04-16,Capiz,474574,30,Educational
Makabayan Alliance,Ana Magbanua,2003-01-07,Tacloban,125151,42,Charitable
Luntiang Community Trust,Emilio Sison,2004-09-08,Naga,1380507,193,Environmental
Sampaguita Network,Ruben Villanueva,2002-12-16,Mandaue,511407,9,Arts & Culture
Paglaum Charitable Foundation #362,Jose Bautista,2008-02-01,Zamboanga City,118144,44,Educational
Sampaguita Council - Villar,Ramon Gonzales,1977-03-08,Rizal,1650294,45,Religious
Pag-ibig Network of Ormoc,Ruben Aquino,1984-12-13,Tagum,3229930,41,Health
Gabayan Fund,Emilio Santos,2001-08-18,San Fernando,119722,17,Educational
Haraya Alliance #366,Daniel Magbanua,1975-02-23,Cebu City,437772,46,Health
Dangal Foundation for Education #367,Antonio Dizon,2016-01-12,Ilagan,401169,46,Educational
Dangal Center,Juan Garcia,2024-07-04,Cabuyao,93279,16,Arts & Culture
Gabayan Foundation #369,Pedro Reyes,1991-03-05,Vigan,1297009,154,Charitable
Kapit-bisig Fund,Teresa Mendoza,2020-11-21,Caloocan,1122746,33,Human Rights
Dangal Network of Tarlac,Teresa Padilla,1976-11-24,Dipolog,392102,13,Health
Bagong Council,Teresa Mendoza,1998-03-16,Capiz,349450,39,Arts & Culture
Paglaum Initiative #373,Ana Dela Cruz,1986-09-10,Angeles City,619936,34,Community Development
Pamana Trust - Velasco,Rogelio Velasco,2010-01-14,Bacolod,134929,34,Arts & Culture
Kaagapay Alliance,Ruben Abalos,2014-01-25,Valenzuela,523314,19,Educational
Pag-asa Center,Aileen Reyes,2010-07-22,Dasmariñas,297658,30,Charitable
Malasakit Network,Jose Magbanua,1998-09-03,Koronadal,446477,35,Arts & Culture
Tulong Council of Malaybalay,Rosa Sison,1996-11-28,Paranaque,1279496,28,Educational
Malasakit Community Trust,Marisol Castillo,1985-08-14,Tarlac,98431,107,Educational
Sulong Initiative,Ana Rodriguez,1982-06-17,Makati,137795,13,Community Development
Aklat Foundation,Teresa Cruz,2021-05-05,Tarlac,1715656,116,Arts & Culture
Gabayan Charitable Foundation #382,Grace Garcia,2024-11-25,Zamboanga City,863357,12,Educational
Tulong Alliance #383,Antonio Castillo,2012-12-10,Mandaue,2349118,49,Educational
Haraya Charitable Foundation #384,Carmen Alcantara,2021-07-30,Cebu City,457194,29,Environmental
Gabayan Foundation for Education - Delgado,Teresa Garcia,2019-06-18,Laguna,123658,48,Environmental
Bukas Center,Rogelio Garcia,2008-10-24,Iligan,4980228,14,Educational
Lingap Society #387,Ana Delgado,1983-09-24,Mandaluyong,191027,39,Charitable
Sampaguita Center,Ramon Abalos,1990-03-25,Batangas City,157315,34,Environmental
Sulong Help Fund #389,Rosa Manalo,1977-01-28,General Santos,374114,28,Human Rights
Kalinga Foundation for Education,Grace Velasco,1981-03-25,Laguna,149016,40,Arts & Culture
Pag-ibig Foundation for Youth #391,Grace Reyes,2015-02-02,Capiz,1747902,49,Research
Bukas Center of Paranaque,Ella Ortega,2024-04-16,Naga,406267,32,Religious
Bukas Foundation #393,Carlos Manalo,1972-07-18,Zamboanga City,1921865,19,Educational
Lingap Foundation for Education #394,Rogelio Salvador,1993-09-29,Capiz,219127,517,Health
Kalinga Charitable Foundation #395,Francis Aquino,2025-06-15,Laguna,321223,43,Charitable
Kapit-bisig Council - Villar,Daniel Villar,2013-04-30,Makati,717558,1803,Educational
Dangal Project #397,Rosa Padilla,1976-07-19,Tagum,4135335,18,Environmental
Lingap Center #398,Emilio Aquino,2013-06-11,Cavite City,947041,36,Health
Kaagapay Center of Rizal,Aileen Castillo,1998-08-25,Sorsogon,395926,32,Arts & Culture
Sigla Project #400,Pedro Navarro,2003-03-30,Iligan,109372,144,Environmental
Pamana Trust,Ramon Torres,2011-11-07,Pasig,50000,173,Environmental
Paglaum Network,Cristina Garcia,1978-09-08,Davao City,384650,38,Charitable
Pag-ibig Project #403,Aileen Ortega,2007-07-07,Makati,420917,6,Environmental
Sampaguita Society #404,Ramon Abalos,2021-10-29,Sorsogon,320476,1374,Research
Makabayan Initiative #405,Rogelio Fernandez,2014-09-14,Iligan,220244,20,Community Development
Pag-ibig Network of Quezon City,Jose Mendoza,2015-05-07,Cavite City,735469,50,Charitable
Bukas Fund - Santos,Maria Villar,2014-05-26,Ormoc,611746,13,Charitable
Kapit-bisig Foundation for Education #408,Lea Villar,2018-02-24,Manila,5540400,38,Health
Pag-asa Project #409,Pedro Sison,1993-09-23,Sorsogon,663065,18,Religious
Sigla Charitable Foundation #410,Antonio Dizon,1974-01-22,Lucena,117874,21,Educational
Lingap Foundation for Youth #411,Grace Rodriguez,2002-07-11,Butuan,468118,29,Community Development
Pag-ibig Trust,Antonio Delgado,2010-05-28,Puerto Princesa,633818,16,Community Development
Kaagapay Foundation for Education of San Fernando,Ana Garcia,1978-09-04,Lucena,176298,185,Arts & Culture
Sigla Charitable Foundation #414,Ramon Cruz,2002-10-20,Puerto Princesa,5595746,37,Charitable
Bagong Initiative,Evelyn Delgado,2006-01-04,Iligan,599758,166,Charitable
Lingap Foundation,Maria Garcia,1999-11-18,Marikina,437466,34,Charitable
Sulong Network #417,Pedro Ortega,2016-04-01,Taguig,187427,42,Charitable
Kaagapay Fund - Fernandez,Antonio Ortega,1996-11-05,Roxas,1217374,38,Environmental
Makabayan Council #419,Carlos Delgado,2017-10-04,Angeles City,528209,94,Community Development
Pag-ibig Network of Quezon City #420,Teresa Lopez,1979-11-01,Olongapo,162793,947,Charitable
Bukas Alliance,Jocelyn Sison,1972-05-23,Ormoc,163989,38,Environmental
Aklat Alliance #422,Daniel Magbanua,2021-11-24,Dipolog,444522,25,Religious
Tahanan Community Trust #423,Maria Salvador,2013-02-07,Paranaque,262566,70,Charitable
Sulong Foundation for Education #424,Maya Ortega,2004-02-10,Cagayan de Oro,133409,18,Arts & Culture
Dangal Initiative #425,Maria Salvador,1979-11-11,Valenzuela,1455304,136,Environmental
Bayan Network #426,Ramon Aquino,1983-08-03,Olongapo,2677818,115,Charitable
Haraya Council of Vigan,Evelyn Abalos,2012-04-23,Ilagan,119904,48,Arts & Culture
Gabay Foundation,Ruben Garcia,2016-07-14,Bacolod,66606,48,Charitable
Dangal Network - Delgado,Antonio Lopez,1985-07-15,Cavite City,1510889,42,Community Development
Pamana Fund #430,Grace Dizon,1993-09-19,San Fernando,452365,17,Community Development
Aklat Initiative #431,Cristina Velasco,2020-01-26,Mandaluyong,6688318,40,Charitable
Tahanan Alliance,Rogelio Villar,1988-08-06,Tagum,1392545,20,Environmental
Malasakit Network #433,Ramon Villanueva,2001-04-17,Butuan,797319,44,Charitable
Pag-ibig Trust of Dipolog,Ella Cruz,2004-01-24,Lucena,380258,30,Human Rights
Sigla Charitable Foundation #435,Jocelyn Garcia,1996-01-22,Caloocan,168988,12,Health
Pag-ibig Community Trust #436,Jose Dizon,2009-09-08,Capiz,847619,166,Charitable
Paglaum Community Trust #437,Lea Rodriguez,1988-02-17,Malaybalay,1709962,18,Charitable
Paglaum Help Fund,Grace Castillo,1994-05-15,Taguig,372916,18,Community Development
Pag-asa Foundation for Youth #439,Maya Salvador,1991-06-20,Makati,344687,451,Environmental
Sulong Initiative - Navarro,Cristina Santos,1978-12-28,Olongapo,174278,20,Community Development
Aklat Trust of Cabuyao,Rogelio Garcia,1970-06-19,Butuan,129659,23,Arts & Culture
Sampaguita Project,Daniel Abalos,2012-09-04,Marikina,436524,137,Microfinance
Kapit-bisig Initiative #443,Rogelio Villar,1998-10-25,Lipa,466234,16,Health
Kapit-bisig Foundation,Marisol Navarro,1978-01-10,Capiz,568971,23,Human Rights
Bukas Initiative #445,Grace Bautista,1973-05-07,Dasmariñas,1579320,20,Research
Haraya Help Fund,Carlos Fernandez,1973-04-05,Lucena,313376,38,Religious
Aklat Center,Marisol Bautista,1995-12-21,Caloocan,201744,1777,Arts & Culture
Bukas Foundation for Youth of Antipolo,Marisol Lopez,1995-07-13,Cavite City,363647,14,Health
Kapit-bisig Council #449,Mark Villanueva,1982-01-15,Iligan,321983,152,Community Development
Gabayan Alliance,Roberto Magbanua,1980-02-09,Naga,1044099,142,Health
Gabayan Foundation for Education - Velasco,Ruben Fernandez,1971-04-07,Ilagan,90474,11,Research
Makabayan Charitable Foundation #452,Rosa Salvador,1987-05-01,Dasmariñas,295154,39,Community Development
Kaagapay Society #453,Daniel Sison,2006-05-19,Tacloban,80085,11,Environmental
Sulong Fund #454,Jose Mendoza,1978-07-23,Dasmariñas,539516,47,Educational
Makabayan Help Fund of Makati,Juan Velasco,2004-05-30,Makati,307435,11,Charitable
Gabayan Charitable Foundation #456,Miguel Lopez,1997-02-02,Roxas,129202,6,Religious
Gabay Foundation for Youth,Juan Velasco,2002-04-04,Tagum,486094,23,Community Development
Tahanan Foundation #458,Ella Gonzales,2011-10-03,Mandaluyong,843874,17,Health
Sampaguita Project #459,Ella Delgado,1997-11-25,Tagum,1544255,9,Religious
Pag-asa Foundation for Education #460,Marisol Villar,2002-12-22,San Fernando,2586307,7,Educational
Tahanan Initiative,Pedro Villanueva,1983-09-29,Cavite City,1972981,115,Charitable
Pamana Help Fund - Villanueva,Rogelio Cruz,1989-08-05,Puerto Princesa,523964,38,Educational
Tahanan Foundation for Education,Rogelio Ortega,1977-05-06,Mandaue,203153,69,Educational
Gabayan Council #464,Ruben Dizon,1977-01-03,Dipolog,1513951,12,Educational
Pag-asa Foundation,Carlos Cruz,2015-05-08,Valenzuela,359453,38,Health
Bukas Council,Pedro Fernandez,1999-06-09,Mandaue,345687,24,Charitable
Gabayan Trust #467,Ella Rodriguez,2022-04-26,Angeles City,593095,54,Charitable
Tulong Help Fund #468,Mark Padilla,1974-12-29,Cavite City,1472175,47,Arts & Culture
Haraya Network of Dipolog,Maria Cruz,2011-06-26,Cabuyao,3119726,30,Arts & Culture
Pag-ibig Community Trust #470,Juan Mendoza,1992-10-30,Manila,416450,68,Charitable
Gabay Initiative,Francis Reyes,1974-01-24,Tacloban,339595,44,Environmental
Sigla Community Trust,Jose Cruz,1975-05-29,Cebu City,1349659,27,Health
Pag-ibig Project - Fernandez,Rogelio Garcia,2007-09-18,Tarlac,167069,50,Environmental
Luntiang Network,Aileen Abalos,2003-11-13,San Pablo,721573,48,Charitable
Tulong Foundation for Education,Ella Manalo,2018-05-20,Taguig,230168,33,Environmental
Sigla Trust of Dasmariñas,Grace Mendoza,2017-06-12,Taguig,560451,1925,Research
Gabay Initiative #477,Carlos Dela Cruz,1972-01-15,Mandaluyong,924548,68,Health
Gabayan Foundation for Education,Maya Cruz,2008-01-19,Malaybalay,586004,42,Arts & Culture
Luntiang Society #479,Cristina Torres,2011-04-29,Batangas City,404798,17,Community Development
Bagong Alliance #480,Roberto Abalos,1980-02-15,Caloocan,1285398,146,Community Development
Dangal Project #481,Evelyn Navarro,1971-05-28,Makati,546737,44,Educational
Kalinga Trust #482,Ana Ortega,1973-01-05,Iloilo Province,346048,6,Charitable
Malasakit Society of Davao City,Cristina Bautista,1973-12-20,Lucena,446005,42,Educational
Pamana Initiative - Navarro,Aileen Navarro,1975-01-24,Taguig,128178,11,Community Development
Sulong Alliance,Cristina Alcantara,2021-09-07,Rizal,1422675,28,Community Development
Bukas Foundation for Youth,Rogelio Ramos,1998-10-08,Makati,3645506,42,Human Rights
Pag-ibig Help Fund,Pedro Ramos,2016-10-06,Iloilo City,1083699,23,Environmental
Haraya Alliance #488,Miguel Santos,2019-12-12,Roxas,207224,48,Community Development
Gabay Help Fund #489,Liza Navarro,2008-04-29,Butuan,126208,22,Health
Sigla Foundation for Education of Koronadal,Antonio Magbanua,2017-01-19,Rizal,628794,39,Religious
Malasakit Project,Carmen Garcia,1996-11-26,San Pablo,165013,46,Charitable
Sampaguita Charitable Foundation #492,Grace Villanueva,1991-08-15,Iloilo City,468007,987,Charitable
Pag-ibig Society #493,Ruben Garcia,2011-07-17,Davao City,1135382,39,Environmental
Pamana Project,Carmen Cruz,2017-07-19,Taguig,190829,48,Charitable
Paglaum Initiative - Lopez,Daniel Reyes,2010-05-09,Tarlac,699214,584,Educational
Tulong Council,Maya Alcantara,1987-02-02,Davao City,1170830,731,Arts & Culture
Dangal Foundation for Youth of Ormoc,Maria Manalo,1976-07-12,Valenzuela,564690,17,Environmental
Tatak Foundation for Youth #498,Maya Ramos,2020-02-20,Bacolod,426024,199,Charitable
Aklat Initiative #499,Aileen Abalos,1999-11-15,Mandaluyong,50000,26,Environmental
Bayan Initiative,Marisol Rodriguez,1980-07-11,Ilagan,751144,8,Charitable
Tatak Network,Marisol Torres,2024-03-23,Bayawan,626440,131,Religious
Kalinga Project #502,Marisol Torres,2019-07-13,Rizal,105832,12,Charitable
Tatak Alliance,Antonio Padilla,2017-11-16,Capiz,83074,78,Educational
Paglaum Fund of Iligan,Rico Villanueva,2011-10-23,Antipolo,410356,17,Health
Gabay Network #505,Rogelio Alcantara,1998-09-24,Bacolod,145762,13,Charitable
Haraya Foundation - Salvador,Aileen Torres,1983-02-03,Quezon City,62117,25,Religious
Paglaum Council,Marisol Salvador,2021-12-16,Sorsogon,1128128,33,Charitable
Haraya Alliance #508,Pedro Rodriguez,1999-08-06,Iloilo City,50000,5,Environmental
Luntiang Foundation for Youth,Carlos Torres,2014-10-18,Butuan,117079,99,Charitable
Kapit-bisig Foundation for Education #510,Ramon Velasco,2013-11-02,Sorsogon,275425,21,Educational
Aklat Network of Paranaque,Maya Magbanua,2001-08-06,Paranaque,376207,1507,Charitable
Bagong Community Trust #512,Grace Villanueva,1986-07-06,Malaybalay,865754,48,Educational
Kapit-bisig Foundation #513,Mark Santos,1976-09-01,Koronadal,233788,50,Community Development
Lingap Charitable Foundation #514,Juan Aquino,1982-05-03,Laguna,624270,384,Educational
Tahanan Trust,Ruben Garcia,1970-10-27,Bacolod,971757,17,Community Development
Sulong Network #516,Teresa Santos,2025-06-06,Laguna,495046,1078,Community Development
Kaagapay Help Fund - Villanueva,Ella Villanueva,1971-05-31,Manila,7186273,44,Educational
Haraya Foundation of Quezon City,Mark Bautista,1994-08-25,Malaybalay,745994,643,Charitable
Pag-ibig Foundation,Mark Alcantara,2008-08-18,Dasmariñas,3251416,6,Charitable
Pag-asa Help Fund #520,Ana Delgado,1983-05-12,Makati,479407,24,Health
Kalinga Foundation for Youth #521,Mark Velasco,2001-10-19,Baguio,1261540,31,Microfinance
Luntiang Trust #522,Teresa Mendoza,2011-03-07,Dipolog,799067,9,Educational
Tahanan Community Trust #523,Cristina Villar,1977-03-26,Capiz,496230,29,Arts & Culture
Kapit-bisig Charitable Foundation,Maria Reyes,2006-05-12,San Pablo,324046,1706,Community Development
Aklat Foundation of Laguna,Juan Castillo,1985-05-17,Zamboanga City,359256,17,Arts & Culture
Aklat Society,Carmen Navarro,1999-09-21,Dipolog,194027,25,Community Development
Pag-asa Help Fund #527,Mark Abalos,1973-10-26,Iloilo City,1108596,62,Human Rights
Malasakit Help Fund - Salvador,Lea Velasco,1974-03-06,Cebu City,1642483,37,Charitable
Dangal Help Fund #529,Miguel Sison,2018-09-20,Dipolog,342455,12,Charitable
Dangal Foundation #530,Liza Abalos,1998-03-20,Quezon City,580310,1680,Charitable
Kalinga Foundation for Youth #531,Pedro Navarro,2005-09-25,Cebu City,393015,35,Charitable
Bukas Initiative of Dipolog,Carlos Manalo,2004-11-29,Cabuyao,191637,15,Arts & Culture
Pamana Fund #533,Antonio Navarro,1982-07-22,Tagum,454453,97,Health
Gabay Trust #534,Mark Bautista,2001-01-11,Davao City,913915,43,Charitable
Pag-asa Project #535,Cristina Alcantara,1976-10-26,Naga,205869,7,Arts & Culture
Kaagapay Charitable Foundation,Evelyn Ortega,2005-08-04,Vigan,1137128,13,Community Development
Makabayan Foundation #537,Daniel Velasco,2010-06-03,Angeles City,553893,26,Charitable
Tahanan Fund #538,Grace Mendoza,2008-09-28,Dasmariñas,281915,49,Religious
Tatak Foundation for Youth - Villar,Jocelyn Torres,1976-08-05,Zamboanga City,455693,1188,Community Development
Paglaum Center,Antonio Castillo,1983-11-04,Ilagan,52097,151,Charitable
Luntiang Fund,Teresa Gonzales,1978-03-18,Manila,3518560,34,Community Development
Pag-ibig Network,Teresa Navarro,1994-03-15,Antipolo,179059,8,Microfinance
Bagong Trust,Liza Aquino,2010-04-08,Butuan,2479060,36,Charitable
Pamana Council,Carmen Gonzales,1972-05-10,Zamboanga City,506399,18,Charitable
Sigla Council,Jose Ortega,2023-08-27,Rizal,750216,13,Educational
Pag-ibig Project of San Pablo,Rogelio Reyes,2020-03-13,Makati,171342,11,Arts & Culture
Bukas Council #547,Liza Ramos,2004-02-27,Paranaque,112319,13,Human Rights
Bagong Alliance #548,Rosa Velasco,2014-03-29,Cagayan de Oro,607780,15,Educational
Tulong Center #549,Carmen Velasco,2007-10-12,Mandaluyong,164486,109,Arts & Culture
Tulong Fund - Velasco,Cristina Bautista,2014-06-25,Ormoc,171906,1529,Charitable
Kaagapay Initiative,Emilio Gonzales,1982-02-26,Mandaluyong,215519,145,Arts & Culture
Bayan Project,Ramon Alcantara,2025-08-22,San Pablo,1024179,39,Religious
Makabayan Project of Capiz,Evelyn Garcia,1996-12-14,Rizal,102476,1454,Charitable
Kaagapay Community Trust,Roberto Villanueva,1998-03-10,Dasmariñas,50000,31,Community Development
Luntiang Fund #555,Rosa Bautista,2014-01-19,Dipolog,225783,28,Community Development
Tahanan Fund #556,Antonio Velasco,2005-04-02,Tarlac,395971,38,Religious
Pag-asa Help Fund #557,Francis Rodriguez,2023-02-18,Malaybalay,793471,50,Charitable
Sampaguita Foundation for Education,Rogelio Cruz,1972-05-31,Sorsogon,1491778,47,Microfinance
Gabayan Community Trust,Roberto Padilla,1996-02-20,Tagum,3342884,48,Community Development
Haraya Foundation for Education of Angeles City,Pedro Navarro,1997-03-03,Makati,166145,16,Educational
Bagong Community Trust - Aquino,Jocelyn Mendoza,1976-08-20,Iloilo Province,191618,1276,Environmental
Kaagapay Network,Francis Mendoza,2017-12-10,Iligan,2037658,25,Educational
Malasakit Project #563,Grace Santos,2002-04-04,Tagum,162201,46,Health
Pamana Foundation for Youth,Daniel Abalos,1977-08-16,Antipolo,223171,12,Educational
Tatak Initiative,Ella Ramos,2001-11-06,Paranaque,76025,71,Community Development
Kapit-bisig Foundation for Youth #566,Maria Salvador,2005-11-07,Puerto Princesa,155089,11,Community Development
Haraya Trust of Manila,Ana Velasco,1989-12-01,Iligan,107064,80,Charitable
Gabay Council #568,Grace Salvador,2021-08-10,Iloilo City,1043733,141,Microfinance
Gabayan Fund #569,Antonio Padilla,2022-10-21,Tagum,539024,49,Religious
Sulong Center #570,Teresa Dela Cruz,2013-04-24,Antipolo,54836,7,Community Development
Pag-ibig Project #571,Marisol Reyes,1980-05-31,Sorsogon,1367887,35,Arts & Culture
Pag-ibig Fund - Padilla,Jocelyn Rodriguez,2016-10-01,Marikina,501164,46,Environmental
Sigla Network,Ana Padilla,2010-08-04,Rizal,347392,42,Community Development
Lingap Charitable Foundation of Bayawan,Ana Dela Cruz,2000-10-11,Capiz,3002998,191,Microfinance
Pag-asa Foundation for Education #575,Jocelyn Fernandez,1991-11-19,Mandaue,269757,194,Educational
Sampaguita Council,Liza Lopez,2020-03-24,Tacloban,1025343,20,Community Development
Gabayan Initiative,Jocelyn Mendoza,1986-07-20,Dasmariñas,265791,75,Health
Kapit-bisig Foundation for Education #578,Carmen Mendoza,1972-08-14,Ilagan,187311,166,Environmental
Kaagapay Help Fund,Roberto Padilla,2023-02-17,Tacloban,3168693,35,Environmental
Luntiang Foundation #580,Ruben Rodriguez,1988-06-18,Baguio,85292,146,Community Development
Tulong Foundation for Youth of Antipolo,Jocelyn Manalo,2018-03-02,Dasmariñas,144828,13,Educational
Sigla Fund,Roberto Padilla,1980-03-23,General Santos,1367480,35,Community Development
Aklat Council - Navarro,Ramon Ortega,2004-11-12,San Fernando,893078,28,Community Development
Luntiang Foundation for Youth #584,Ana Dizon,2001-07-30,Cavite City,290763,33,Charitable
Kaagapay Center #585,Carlos Ramos,1996-09-07,San Fernando,415102,863,Research
Bukas Trust,Ella Garcia,1998-02-05,Pasig,235373,1970,Charitable
Tahanan Alliance #587,Ana Fernandez,2003-06-29,Tagum,50000,148,Environmental
Luntiang Project of Ormoc,Pedro Salvador,2004-06-04,Tacloban,275757,1380,Religious
Sampaguita Network #589,Daniel Cruz,1985-07-17,Butuan,1442761,16,Educational
Sampaguita Network #590,Rosa Garcia,1986-10-14,Rizal,750460,18,Charitable
Gabayan Foundation for Youth #591,Maria Manalo,2002-03-18,Manila,453921,27,Community Development
Aklat Center #592,Roberto Alcantara,2004-06-12,Butuan,2192730,11,Charitable
Sulong Foundation for Education #593,Lea Aquino,2014-02-11,Olongapo,1993016,36,Charitable
Gabayan Network - Fernandez,Jose Salvador,1972-10-08,Puerto Princesa,315232,42,Community Development
Lingap Alliance of Iloilo City,Grace Villar,1985-02-02,Vigan,1137349,34,Educational
Gabayan Foundation for Youth #596,Maya Navarro,2014-06-09,Butuan,261106,55,Research
Sulong Trust,Francis Gonzales,1994-01-13,Vigan,398799,6,Arts & Culture
Pamana Society #598,Teresa Cruz,1973-09-25,Puerto Princesa,2243327,7,Educational
Gabay Network #599,Grace Rodriguez,2008-02-22,Antipolo,986935,23,Charitable
Gabay Society,Daniel Navarro,1992-03-17,Mandaluyong,685618,35,Human Rights
Lingap Network,Miguel Dizon,1977-10-21,Iloilo Province,977158,47,Charitable
Tahanan Initiative of Ilagan,Francis Castillo,2001-06-16,Bayawan,6773393,84,Arts & Culture
Kaagapay Foundation for Education,Carmen Fernandez,2025-04-12,Taguig,982256,38,Environmental
Kalinga Society #604,Roberto Magbanua,1975-04-30,Dipolog,240338,174,Community Development
Paglaum Foundation for Youth - Cruz,Liza Lopez,1996-04-03,Lipa,484531,24,Arts & Culture
Bukas Alliance #606,Aileen Delgado,1978-07-18,Taguig,2660507,514,Religious
Tatak Charitable Foundation,Carmen Abalos,1975-04-27,Baguio,815633,39,Environmental
Kapit-bisig Center #608,Ruben Manalo,1981-11-27,Makati,948983,9,Community Development
Makabayan Society of Makati,Rogelio Alcantara,2005-03-26,Angeles City,2229527,27,Charitable
Bagong Foundation for Youth #610,Daniel Velasco,2007-03-01,San Pablo,429866,40,Charitable
Gabayan Trust #611,Daniel Magbanua,1978-05-09,Lucena,2391076,25,Arts & Culture
Sulong Community Trust,Miguel Castillo,2003-02-10,Cavite City,194571,23,Educational
Aklat Fund #613,Francis Dela Cruz,1978-05-11,Sorsogon,1408350,25,Health
Gabayan Foundation for Education #614,Ella Castillo,2002-02-20,Cebu City,182917,33,Environmental
Pamana Project #615,Roberto Aquino,1989-01-02,Angeles City,2110880,129,Health
Bukas Center - Salvador,Aileen Villanueva,2000-11-02,Cabuyao,141766,17,Environmental
Tatak Foundation,Maria Gonzales,2011-03-26,Quezon City,50000,41,Community Development
Pag-asa Help Fund #618,Aileen Fernandez,2009-08-04,Cavite City,335879,142,Educational
Bayan Project #619,Roberto Castillo,1981-11-01,Capiz,375214,197,Arts & Culture
Pag-ibig Center,Aileen Abalos,1994-08-02,Zamboanga City,227260,972,Educational
Kapit-bisig Fund #621,Miguel Reyes,2003-05-12,Koronadal,436799,41,Educational
Kapit-bisig Center #622,Maria Mendoza,1997-05-29,Sorsogon,53026,33,Charitable
Tahanan Project of Capiz,Jose Castillo,1978-07-16,Manila,778418,12,Charitable
Kalinga Network,Jose Garcia,2023-04-06,Iloilo City,905820,37,Charitable
Sulong Foundation for Education #625,Emilio Dela Cruz,1970-09-22,Tagum,7454484,33,Health
Makabayan Society,Ana Manalo,2007-11-21,Tagum,563667,45,Community Development
Tulong Initiative - Mendoza,Jose Bautista,1979-03-11,Antipolo,191673,14,Charitable
Makabayan Fund,Rico Villar,1982-04-21,San Pablo,622906,39,Charitable
Tatak Society #629,Rogelio Manalo,1981-12-11,Capiz,328181,48,Environmental
Tulong Council of Dipolog,Juan Ortega,1984-09-21,Iloilo Province,115659,13,Arts & Culture
Sigla Community Trust #631,Roberto Navarro,1983-08-01,Olongapo,1729183,47,Microfinance
Kaagapay Foundation for Education #632,Emilio Manalo,1989-06-28,Zamboanga City,1423686,170,Health
